year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
2024,34.58357671,-119.0155836544,Ventura,California,United States,Anaxyrus californicus
2024,34.5344556185,-119.0527519544,Ventura,California,United States,Anaxyrus californicus
2024,34.481152994,-119.0984128635,Ventura,California,United States,Anaxyrus californicus
2024,34.4163432982,-119.0948394531,Ventura,California,United States,Anaxyrus californicus
2024,30.8350775813,-115.6152182682,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,34.582900035,-119.063674852,Ventura,California,United States,Anaxyrus californicus
2023,33.2557368702,-116.8576220856,San Diego,California,United States,Anaxyrus californicus
2024,32.0797992278,-116.0646878694,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.0796649997,-116.0647792,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2023,34.2569367831,-118.0560270082,Los Angeles,California,United States,Anaxyrus californicus
2023,34.2134085322,-118.1488910373,Los Angeles,California,United States,Anaxyrus californicus
2023,34.3215178865,-118.0501565955,Los Angeles,California,United States,Anaxyrus californicus
2023,34.3188721707,-118.0597350321,Los Angeles,California,United States,Anaxyrus californicus
2024,32.0661439312,-116.1714402253,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,33.4812402396,-116.8901758211,Riverside,California,United States,Anaxyrus californicus
2024,33.5357788391,-116.997136086,Riverside,California,United States,Anaxyrus californicus
2024,33.5418051112,-116.90563587770001,Riverside,California,United States,Anaxyrus californicus
2024,33.4587729404,-116.9475654869,Riverside,California,United States,Anaxyrus californicus
2024,33.5290054284,-116.8638163207,Riverside,California,United States,Anaxyrus californicus
2024,33.459710297,-116.8920232245,Riverside,California,United States,Anaxyrus californicus
2024,30.971925,-115.7431333333,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,34.1077301864,-116.827158676,San Bernardino,California,United States,Anaxyrus californicus
2024,34.0837271954,-116.8359204376,San Bernardino,California,United States,Anaxyrus californicus
2024,32.0757445096,-116.0643388333,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.15875358,-116.13700341,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.07711864,-116.06331474,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,34.5506072638,-119.0456953489,Ventura,California,United States,Anaxyrus californicus
2024,30.9718583333,-115.7442866667,Ensenada,Baja California,Mexico,Anaxyrus californicus
2024,34.5212520837,-119.0972348418,Ventura,California,United States,Anaxyrus californicus
2024,34.6100838133,-119.3447710723,Ventura,California,United States,Anaxyrus californicus
2024,34.5712591359,-119.0280890526,Ventura,California,United States,Anaxyrus californicus
